     Index       y_measurement           y_fitting        descriptor_1        descriptor_2        descriptor_3
       174    0.4960000000E+03    0.4818841970E+03    0.5476108413E+04    0.1056386999E+01    0.4830409357E-03
       175    0.4670000000E+03    0.4714066446E+03    0.5215078834E+04    0.1026010354E+01    0.4388825911E-03
       176    0.5110000000E+03    0.4766316798E+03    0.5421620224E+04    0.1135819887E+01    0.4587944220E-03
       177    0.4900000000E+03    0.4883932964E+03    0.5731427094E+04    0.1060831979E+01    0.4681880342E-03
       178    0.5230000000E+03    0.4957296095E+03    0.5886330529E+04    0.1039912132E+01    0.4975393612E-03
       179    0.4760000000E+03    0.4750189939E+03    0.5266716789E+04    0.9931153871E+00    0.4564435448E-03
       180    0.6100000000E+03    0.6146688300E+03    0.9614882512E+04    0.1077946571E+01    0.5938266879E-03
       181    0.5810000000E+03    0.5852941857E+03    0.8875562727E+04    0.1189001311E+01    0.5330653907E-03
       182    0.6250000000E+03    0.6420687391E+03    0.1028760949E+05    0.9289814013E+00    0.6434981393E-03
       183    0.5620000000E+03    0.5929212537E+03    0.9103141258E+04    0.1139032166E+01    0.5279000532E-03
       184    0.6350000000E+03    0.6043525843E+03    0.9424495082E+04    0.1169905091E+01    0.5605188729E-03
       185    0.5660000000E+03    0.5978402035E+03    0.9237877576E+04    0.1180901265E+01    0.5521158958E-03
       186    0.6380000000E+03    0.5990901101E+03    0.9054860987E+04    0.9492308669E+00    0.5725188729E-03
       187    0.6060000000E+03    0.5783603487E+03    0.8590509142E+04    0.1113436565E+01    0.5325486443E-03
       188    0.5820000000E+03    0.6134319730E+03    0.9369031333E+04    0.9879371560E+00    0.6496214779E-03
       189    0.6340000000E+03    0.6145434001E+03    0.9558298321E+04    0.9995305487E+00    0.5911706539E-03
       190    0.5850000000E+03    0.5919101444E+03    0.9103141258E+04    0.1182933438E+01    0.5277150452E-03
       191    0.6030000000E+03    0.6002191097E+03    0.9194629349E+04    0.1124433251E+01    0.5844497608E-03
       192    0.6250000000E+03    0.5840321694E+03    0.9103141258E+04    0.1358482630E+01    0.4753684211E-03
       193    0.6310000000E+03    0.5827937462E+03    0.9194629349E+04    0.1683045653E+01    0.5207336523E-03
       194    0.6250000000E+03    0.6452736750E+03    0.1042211225E+05    0.9710502802E+00    0.6448038278E-03
       195    0.5510000000E+03    0.5665508954E+03    0.8112557120E+04    0.1077946571E+01    0.5570994152E-03
       196    0.5390000000E+03    0.5408419817E+03    0.7488756051E+04    0.1189001311E+01    0.4987017544E-03
       197    0.5640000000E+03    0.5904305544E+03    0.8680170505E+04    0.9289814013E+00    0.6021345029E-03
       198    0.5500000000E+03    0.5474600257E+03    0.7680775437E+04    0.1139032166E+01    0.4944152047E-03
       199    0.5900000000E+03    0.5573765994E+03    0.7951917726E+04    0.1169905091E+01    0.5270643275E-03
       200    0.5270000000E+03    0.5516697458E+03    0.7794459205E+04    0.1180901265E+01    0.5176461988E-03
